Lieu;CRESSIER-NE;CRESSIER-NE;CRESSIER-NE;CRESSIER-NE
Paramètre;Température moy.;Prec. tot.;Vent moy.;Rayonnement
Unité;ºC;mm;m/sec;WH/m2
19.03.2008 00:00;1.6;0.0;x;0
19.03.2008 01:00;1.3;0.0;x;0
19.03.2008 02:00;0.2;0.0;x;0
19.03.2008 03:00;-1.0;0.0;x;0
19.03.2008 04:00;-1.3;0.0;x;0
19.03.2008 05:00;-1.8;0.0;x;2
19.03.2008 06:00;-0.5;0.0;x;86
19.03.2008 07:00;2.4;0.0;x;266
19.03.2008 08:00;3.4;0.0;x;470
19.03.2008 09:00;4.4;0.0;x;454
19.03.2008 10:00;4.9;0.0;x;294
19.03.2008 11:00;4.7;0.0;x;248
19.03.2008 12:00;5.3;0.0;x;396
19.03.2008 13:00;4.8;0.0;x;200
19.03.2008 14:00;5.6;0.0;x;357
19.03.2008 15:00;4.9;0.0;x;178
19.03.2008 16:00;5.3;0.0;x;119
19.03.2008 17:00;3.7;0.0;x;17
19.03.2008 18:00;3.1;0.0;x;0
19.03.2008 19:00;3.3;0.0;x;0
19.03.2008 20:00;3.3;0.0;x;0
19.03.2008 21:00;2.4;0.0;x;0
19.03.2008 22:00;1.2;0.0;x;0
19.03.2008 23:00;0.1;0.0;x;0
20.03.2008 00:00;-0.5;0.0;x;0
20.03.2008 01:00;-0.5;0.0;x;0
20.03.2008 02:00;-0.5;0.0;x;0
20.03.2008 03:00;-0.9;0.0;x;0
20.03.2008 04:00;-1.6;0.0;x;0
20.03.2008 05:00;-1.5;0.0;x;2
20.03.2008 06:00;-1.0;0.0;x;86
20.03.2008 07:00;2.1;0.0;x;285
20.03.2008 08:00;3.1;0.0;x;418
20.03.2008 09:00;3.6;0.0;x;343
20.03.2008 10:00;4.5;0.0;x;455
20.03.2008 11:00;4.2;0.0;x;399
20.03.2008 12:00;4.6;0.0;x;326
20.03.2008 13:00;5.0;0.0;x;421
20.03.2008 14:00;5.4;0.0;x;430
20.03.2008 15:00;5.0;0.0;x;234
20.03.2008 16:00;4.5;0.0;x;112
20.03.2008 17:00;3.8;0.0;x;14
20.03.2008 18:00;3.5;0.0;x;0
20.03.2008 19:00;3.5;0.0;x;0
20.03.2008 20:00;3.3;0.0;x;0
20.03.2008 21:00;3.2;0.0;x;0
20.03.2008 22:00;3.1;0.0;x;0
20.03.2008 23:00;3.2;0.0;x;0
21.03.2008 00:00;2.9;0.0;x;0
21.03.2008 01:00;2.0;0.0;x;0
21.03.2008 02:00;0.4;0.0;x;0
21.03.2008 03:00;-0.0;0.0;x;0
21.03.2008 04:00;-0.2;0.0;x;0
21.03.2008 05:00;-0.3;0.0;x;0
21.03.2008 06:00;-0.2;0.0;x;8
21.03.2008 07:00;-0.1;0.0;x;21
21.03.2008 08:00;-0.1;0.2;x;33
21.03.2008 09:00;0.1;1.2;x;45
21.03.2008 10:00;0.4;3.6;x;71
21.03.2008 11:00;0.7;4.2;x;85
21.03.2008 12:00;0.8;4.6;x;118
21.03.2008 13:00;1.8;4.2;x;116
21.03.2008 14:00;1.9;5.4;x;68
21.03.2008 15:00;1.9;3.8;x;39
21.03.2008 16:00;2.1;2.8;x;34
21.03.2008 17:00;2.5;1.0;x;21
21.03.2008 18:00;2.4;0.4;x;0
21.03.2008 19:00;2.2;0.8;x;0
21.03.2008 20:00;1.7;0.0;x;0
21.03.2008 21:00;1.7;0.0;x;0
21.03.2008 22:00;1.8;0.0;x;0
21.03.2008 23:00;1.5;0.0;x;0
22.03.2008 00:00;1.8;0.0;x;0
22.03.2008 01:00;1.7;0.0;x;0
22.03.2008 02:00;1.7;0.0;x;0
22.03.2008 03:00;1.7;0.2;x;0
22.03.2008 04:00;1.7;0.0;x;0
22.03.2008 05:00;1.1;0.0;x;3
22.03.2008 06:00;1.6;0.0;x;79
22.03.2008 07:00;2.3;0.0;x;236
22.03.2008 08:00;3.3;0.4;x;518
22.03.2008 09:00;3.9;0.2;x;684
22.03.2008 10:00;4.1;0.0;x;541
22.03.2008 11:00;4.2;0.0;x;517
22.03.2008 12:00;2.7;0.0;x;294
22.03.2008 13:00;1.8;0.8;x;174
22.03.2008 14:00;2.7;0.0;x;249
22.03.2008 15:00;3.9;0.0;x;300
22.03.2008 16:00;3.2;0.0;x;119
22.03.2008 17:00;2.1;0.0;x;30
22.03.2008 18:00;0.6;0.0;x;0
22.03.2008 19:00;0.4;0.0;x;0
22.03.2008 20:00;0.7;0.0;x;0
22.03.2008 21:00;0.6;0.0;x;0
22.03.2008 22:00;-0.3;0.0;x;0
22.03.2008 23:00;-0.1;0.0;x;0
23.03.2008 00:00;-0.8;0.0;x;0
23.03.2008 01:00;-1.4;0.0;x;0
23.03.2008 02:00;-1.6;0.0;x;0
23.03.2008 03:00;-1.6;0.0;x;0
23.03.2008 04:00;-1.0;0.0;x;0
23.03.2008 05:00;-0.8;0.0;x;2
23.03.2008 06:00;-0.5;0.0;x;28
23.03.2008 07:00;0.7;0.0;x;157
23.03.2008 08:00;2.6;0.0;x;463
23.03.2008 09:00;2.3;0.0;x;276
23.03.2008 10:00;3.2;0.0;x;510
23.03.2008 11:00;2.9;0.0;x;372
23.03.2008 12:00;3.3;0.0;x;577
23.03.2008 13:00;4.4;0.0;x;707
23.03.2008 14:00;3.0;0.0;x;399
23.03.2008 15:00;2.3;0.0;x;404
23.03.2008 16:00;1.3;0.0;x;167
23.03.2008 17:00;0.6;0.0;x;19
23.03.2008 18:00;0.3;0.0;x;0
23.03.2008 19:00;-0.1;0.0;x;0
23.03.2008 20:00;-0.6;0.0;x;0
23.03.2008 21:00;-1.1;0.0;x;0
23.03.2008 22:00;-1.7;0.0;x;0
23.03.2008 23:00;-2.1;0.0;x;0
24.03.2008 00:00;-3.6;0.0;x;0
24.03.2008 01:00;-4.3;0.0;x;-0
