Lieu;GORGIER;GORGIER;GORGIER;GORGIER;TWANN;TWANN;TWANN;TWANN
Paramètre;Température moy.;Prec. tot.;Vent moy.;Rayonnement;Température moy.;Prec. tot.;Vent moy.;Rayonnement
Unité;ºC;mm;m/sec;WH/m2;ºC;mm;m/sec;WH/m2
18.03.2013 00:00;2.8;1.2;x;0;3.3;1.4;x;x
18.03.2013 01:00;1.9;1.4;x;0;2.9;0.2;x;x
18.03.2013 02:00;1.6;1.2;x;0;2.5;0.0;x;x
18.03.2013 03:00;1.3;1.0;x;0;2.0;0.0;x;x
18.03.2013 04:00;1.0;0.8;x;0;1.5;0.0;x;x
18.03.2013 05:00;0.6;0.4;x;0;1.0;0.0;x;x
18.03.2013 06:00;0.4;0.4;x;10;0.8;0.0;x;x
18.03.2013 07:00;0.6;0.4;x;26;1.1;0.0;x;x
18.03.2013 08:00;0.6;0.4;x;49;1.2;0.0;x;x
18.03.2013 09:00;1.1;0.2;x;100;1.5;0.0;x;x
18.03.2013 10:00;1.8;0.0;x;148;2.0;0.0;x;x
18.03.2013 11:00;2.4;0.0;x;121;2.5;0.0;x;x
18.03.2013 12:00;3.4;0.0;x;255;3.1;0.0;x;x
18.03.2013 13:00;4.2;0.0;x;291;3.8;0.0;x;x
18.03.2013 14:00;4.4;0.0;x;273;4.7;0.2;x;x
18.03.2013 15:00;4.3;0.0;x;146;4.7;0.0;x;x
18.03.2013 16:00;3.4;1.8;x;34;4.5;0.0;x;x
18.03.2013 17:00;3.2;0.4;x;4;4.0;0.0;x;x
18.03.2013 18:00;2.4;0.2;x;0;3.4;0.4;x;x
18.03.2013 19:00;2.6;0.0;x;0;3.3;0.0;x;x
18.03.2013 20:00;2.3;0.4;x;0;3.3;0.0;x;x
18.03.2013 21:00;1.4;1.2;x;0;3.0;0.0;x;x
18.03.2013 22:00;1.8;0.0;x;0;2.5;0.2;x;x
18.03.2013 23:00;2.0;0.4;x;0;2.8;0.0;x;x
19.03.2013 00:00;1.7;0.8;x;0;2.4;1.8;x;x
19.03.2013 01:00;1.7;0.6;x;0;1.7;1.4;x;x
19.03.2013 02:00;1.6;0.6;x;0;1.5;2.4;x;x
19.03.2013 03:00;1.4;1.0;x;0;2.2;1.2;x;x
19.03.2013 04:00;1.7;0.4;x;0;2.1;0.2;x;x
19.03.2013 05:00;1.8;0.0;x;1;2.1;0.6;x;x
19.03.2013 06:00;1.8;0.2;x;15;2.5;0.0;x;x
19.03.2013 07:00;1.8;0.4;x;57;2.5;0.4;x;x
19.03.2013 08:00;3.1;0.2;x;319;2.6;0.6;x;x
19.03.2013 09:00;5.2;0.0;x;540;4.1;0.0;x;x
19.03.2013 10:00;6.0;0.0;x;545;5.4;0.0;x;x
19.03.2013 11:00;6.8;0.0;x;438;6.7;0.0;x;x
19.03.2013 12:00;8.1;0.0;x;617;7.3;0.0;x;x
